Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20181226_ENT_Tsang_480p.mp4,2019-01-15,185,3,0,0,0,3,0,0,
20190106_ENT_koo_480p.mp4,2019-01-15,320,3,0,3,0,0,0,0,
20181231_Ent_ma_480p.mp4,2019-01-15,0,3,0,0,0,3,0,0,
20171011_NetDaily_DubbingDad_480p.mp4,2019-01-15,50,3,0,0,0,0,3,0,
20181229_ENT_lau_480p.mp4,2019-01-15,0,3,0,0,0,3,0,0,
20171206_CraftSmith_Glasses_v2_480p.mp4,2019-01-15,0,3,0,2,0,1,0,0,
20180806_LandsSeminar_Rehearsal_480p.mp4,2019-01-15,5,3,0,0,0,0,3,0,
20181128_oldShop_SnakeFan_v2_480p.mp4,2019-01-15,400,3,0,1,0,2,0,0,
20180322_daily_accident_480p.mp4,2019-01-15,85,3,0,0,0,0,3,0,
20190102_ENT_cheng_480p.mp4,2019-01-15,170,3,0,2,0,0,0,1,
20171116_IT_Beoplay_480p.mp4,2019-01-15,110,3,0,3,0,0,0,0,
20170701_Ent_got7_480p.mp4,2019-01-15,95,3,0,3,0,0,0,0,
20171026_ENT_chow_480p.mp4,2019-01-15,65,3,0,0,0,3,0,0,
20170722_Ent_Portrait_480p.mp4,2019-01-15,160,3,0,2,0,1,0,0,
20180821_ENT_av_480p.mp4,2019-01-15,70,3,0,0,0,3,0,0,
20180503_NetDaily_Penguin_480p.mp4,2019-01-15,55,3,0,3,0,0,0,0,
20180925_Tseng_ham6_480p.mp4,2019-01-15,0,3,1,0,0,2,0,0,
20171207_Peggy_480p.mp4,2019-01-15,185,3,2,1,0,0,0,0,
20180620_oldshop_wood_v2_480p.mp4,2019-01-15,340,2,0,1,0,1,0,0,
3manlive_ep41_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20180906_LandsSeminar_480p.mp4,2019-01-15,90,2,0,1,0,1,0,0,
20170214_health_intestinal_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20190109_ENT_lam_480p.mp4,2019-01-15,80,2,0,1,0,0,0,1,
20190107_ENT_sit_480p.mp4,2019-01-15,0,2,0,0,0,0,0,2,
20190108_ENT_wu_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
20180712_IT_FujifilmXT100_480p.mp4,2019-01-15,130,2,2,0,0,0,0,0,
20180803_LandsSeminar_EP1_480p.mp4,2019-01-15,130,2,0,0,0,2,0,0,
20181214_showbiz_Threesome_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20180122_TGIF_Cafe_480p.mp4,2019-01-15,115,2,0,0,0,2,0,0,
20180401_Spring_Echika_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20181205_ENT_fala_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20170802_ENT_TVB_480p.mp4,2019-01-15,90,2,0,2,0,0,0,0,
20180913_ENT_ng_480p.mp4,2019-01-15,95,2,0,2,0,0,0,0,
20190107_Ent_chan_480p.mp4,2019-01-15,0,2,0,0,0,0,0,2,
20180215_zodiac_Rat_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20170918_ENT_TVB_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20181002_Tsang_Wong_480p.mp4,2019-01-15,220,2,0,1,0,1,0,0,
3manLive_EP35_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20181121_ENT_dicly_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
20170704_Tsang_Welcome_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20180724_ENT_lau_480p.mp4,2019-01-15,0,2,0,0,0,0,2,0,
3manLive_EP36_480p.mp4,2019-01-15,135,2,0,1,0,1,0,0,
20170409_Daily_FlushedWater_v2_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
20190107_ent_ekin_480p.mp4,2019-01-15,0,2,0,0,0,0,2,0,
20190108_ENT_cheng_480p.mp4,2019-01-15,95,2,2,0,0,0,0,0,
20170906_minCook_Vegetable_480p.mp4,2019-01-15,60,2,0,2,0,0,0,0,
20181106_Tseng_mo_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
20170704_ENT_ElvaNi_480p.mp4,2019-01-15,105,2,0,2,0,0,0,0,
20180529_ENT_ng_480p.mp4,2019-01-15,55,2,0,2,0,0,0,0,
20170809_ENT_Kay_480p.mp4,2019-01-15,0,2,0,0,0,0,2,0,
20181225_Ent_DeanieYip_480p.mp4,2019-01-15,185,2,0,0,0,2,0,0,
20180215_zodiac_Snake_480p.mp4,2019-01-15,145,2,0,0,0,2,0,0,
20170124_ENT_MatYeung_480p.mp4,2019-01-15,105,2,0,2,0,0,0,0,
20171107_ENT_aaron_480p.mp4,2019-01-15,100,2,0,0,0,2,0,0,
3manLive_EP29_v2_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20181114_XinDauJi_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
3manLive_EP1_480p.mp4,2019-01-15,2195,2,0,0,0,2,0,0,
20171110_TGIF_HachiSawa_v2_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20181130_showbiz_HungKahoAshleyLam_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20180605_ENT_wu_v2_480p.mp4,2019-01-15,0,2,0,0,0,2,0,0,
20180809_Peggy_480p.mp4,2019-01-15,245,2,2,0,0,0,0,0,
20180611_financialReport_GreaterBayArea_480p.mp4,2019-01-15,0,2,0,1,0,1,0,0,
20190102_ENT_ma_480p.mp4,2019-01-15,0,2,0,0,0,1,0,1,
20171218_spring_eggrice_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
20161120_cuson_short_480p.mp4,2019-01-15,0,2,0,2,0,0,0,0,
